filepath,label
data/processed16k/positive/train/speaker01_dary_001.wav,1
data/processed16k/positive/train/speaker01_dary_002.wav,1
data/processed16k/positive/train/speaker01_dary_003.wav,1
data/processed16k/positive/train/speaker01_dary_004.wav,1
data/processed16k/positive/train/speaker01_dary_005.wav,1
data/processed16k/positive/train/speaker01_dary_007.wav,1
data/processed16k/positive/train/speaker01_dary_008.wav,1
data/processed16k/positive/train/speaker01_dary_009.wav,1
data/processed16k/positive/train/speaker01_dary_010.wav,1
data/processed16k/positive/train/speaker01_dary_011.wav,1
data/processed16k/positive/train/speaker01_dary_012.wav,1
data/processed16k/positive/train/speaker01_dary_013.wav,1
data/processed16k/positive/train/speaker01_dary_014.wav,1
data/processed16k/positive/train/speaker01_dary_015.wav,1
data/processed16k/positive/train/speaker01_dary_016.wav,1
data/processed16k/positive/train/speaker01_dary_017.wav,1
data/processed16k/positive/train/speaker01_dary_018.wav,1
data/processed16k/positive/train/speaker01_dary_019.wav,1
data/processed16k/positive/train/speaker01_dary_020.wav,1
data/processed16k/positive/train/speaker01_dary_021.wav,1
data/processed16k/positive/train/speaker01_dary_022.wav,1
data/processed16k/positive/train/speaker01_dary_023.wav,1
data/processed16k/positive/train/speaker01_dary_024.wav,1
data/processed16k/positive/train/speaker01_dary_026.wav,1
data/processed16k/positive/train/speaker01_dary_027.wav,1
data/processed16k/positive/train/speaker01_dary_028.wav,1
data/processed16k/positive/train/speaker01_dary_029.wav,1
data/processed16k/positive/train/speaker01_dary_030.wav,1
data/processed16k/positive/train/speaker01_dary_031.wav,1
data/processed16k/positive/train/speaker01_dary_032.wav,1
data/processed16k/positive/train/speaker01_dary_033.wav,1
data/processed16k/positive/train/speaker01_dary_034.wav,1
data/processed16k/positive/train/speaker01_dary_035.wav,1
data/processed16k/positive/train/speaker01_dary_036.wav,1
data/processed16k/positive/train/speaker01_dary_037.wav,1
data/processed16k/positive/train/speaker01_dary_038.wav,1
data/processed16k/positive/train/speaker01_dary_039.wav,1
data/processed16k/positive/train/speaker01_dary_040.wav,1
data/processed16k/positive/train/speaker01_dary_041.wav,1
data/processed16k/positive/train/speaker01_dary_042.wav,1
data/processed16k/positive/train/speaker01_dary_043.wav,1
data/processed16k/positive/train/speaker01_dary_044.wav,1
data/processed16k/positive/train/speaker01_dary_045.wav,1
data/processed16k/positive/train/speaker01_dary_046.wav,1
data/processed16k/positive/train/speaker01_dary_047.wav,1
data/processed16k/positive/train/speaker01_dary_048.wav,1
data/processed16k/positive/train/speaker01_dary_049.wav,1
data/processed16k/positive/train/speaker01_dary_050.wav,1
data/processed16k/positive/train/speaker01_dary_051.wav,1
data/processed16k/positive/train/speaker01_dary_052.wav,1
data/processed16k/positive/train/speaker01_dary_053.wav,1
data/processed16k/positive/train/speaker01_dary_054.wav,1
data/processed16k/positive/train/speaker01_dary_055.wav,1
data/processed16k/positive/train/speaker01_dary_056.wav,1
data/processed16k/positive/train/speaker01_dary_057.wav,1
data/processed16k/positive/train/speaker01_dary_058.wav,1
data/processed16k/positive/train/speaker01_dary_059.wav,1
data/processed16k/positive/train/speaker01_dary_060.wav,1
data/processed16k/positive/train/speaker01_dary_061.wav,1
data/processed16k/positive/train/speaker02_dary_001.wav,1
data/processed16k/positive/train/speaker02_dary_002.wav,1
data/processed16k/positive/train/speaker02_dary_003.wav,1
data/processed16k/positive/train/speaker02_dary_004.wav,1
data/processed16k/positive/train/speaker02_dary_005.wav,1
data/processed16k/positive/train/speaker02_dary_006.wav,1
data/processed16k/positive/train/speaker02_dary_007.wav,1
data/processed16k/positive/train/speaker02_dary_008.wav,1
data/processed16k/positive/train/speaker02_dary_009.wav,1
data/processed16k/positive/train/speaker02_dary_010.wav,1
data/processed16k/positive/train/speaker02_dary_011.wav,1
data/processed16k/positive/train/speaker02_dary_012.wav,1
data/processed16k/positive/train/speaker02_dary_013.wav,1
data/processed16k/positive/train/speaker02_dary_014.wav,1
data/processed16k/positive/train/speaker02_dary_015.wav,1
data/processed16k/positive/train/speaker02_dary_016.wav,1
data/processed16k/positive/train/speaker02_dary_017.wav,1
data/processed16k/positive/train/speaker02_dary_018.wav,1
data/processed16k/positive/train/speaker02_dary_019.wav,1
data/processed16k/positive/train/speaker02_dary_020.wav,1
data/processed16k/positive/train/speaker02_dary_021.wav,1
data/processed16k/positive/train/speaker02_dary_022.wav,1
data/processed16k/positive/train/speaker02_dary_023.wav,1
data/processed16k/positive/train/speaker02_dary_024.wav,1
data/processed16k/positive/train/speaker03_dary_001.wav,1
data/processed16k/positive/train/speaker03_dary_002.wav,1
data/processed16k/positive/train/speaker03_dary_003.wav,1
data/processed16k/positive/train/speaker03_dary_004.wav,1
data/processed16k/positive/train/speaker03_dary_005.wav,1
data/processed16k/positive/train/speaker03_dary_006.wav,1
data/processed16k/positive/train/speaker03_dary_007.wav,1
data/processed16k/positive/train/speaker03_dary_008.wav,1
data/processed16k/positive/train/speaker03_dary_009.wav,1
data/processed16k/positive/train/speaker03_dary_010.wav,1
data/processed16k/positive/train/speaker03_dary_012.wav,1
data/processed16k/positive/train/speaker03_dary_013.wav,1
data/processed16k/positive/train/speaker03_dary_014.wav,1
data/processed16k/positive/train/speaker03_dary_015.wav,1
data/processed16k/positive/train/speaker03_dary_016.wav,1
data/processed16k/positive/train/speaker03_dary_017.wav,1
data/processed16k/positive/train/speaker03_dary_018.wav,1
data/processed16k/positive/train/speaker03_dary_019.wav,1
data/processed16k/positive/train/speaker03_dary_020.wav,1
data/processed16k/positive/train/speaker03_dary_021.wav,1
data/processed16k/positive/train/speaker04_dary_001.wav,1
data/processed16k/positive/train/speaker04_dary_002.wav,1
data/processed16k/positive/train/speaker04_dary_003.wav,1
data/processed16k/positive/train/speaker04_dary_004.wav,1
data/processed16k/positive/train/speaker04_dary_005.wav,1
data/processed16k/positive/train/speaker04_dary_006.wav,1
data/processed16k/positive/train/speaker04_dary_007.wav,1
data/processed16k/positive/train/speaker04_dary_008.wav,1
data/processed16k/positive/train/speaker04_dary_009.wav,1
data/processed16k/positive/train/speaker04_dary_010.wav,1
data/processed16k/positive/train/speaker04_dary_011.wav,1
data/processed16k/positive/train/speaker04_dary_012.wav,1
data/processed16k/positive/train/speaker04_dary_013.wav,1
data/processed16k/positive/train/speaker04_dary_014.wav,1
data/processed16k/positive/train/speaker04_dary_015.wav,1
data/processed16k/positive/train/speaker04_dary_016.wav,1
data/processed16k/positive/train/speaker04_dary_017.wav,1
data/processed16k/positive/train/speaker04_dary_018.wav,1
data/processed16k/positive/train/speaker05_dary_002.wav,1
data/processed16k/positive/train/speaker05_dary_003.wav,1
data/processed16k/positive/train/speaker05_dary_004.wav,1
data/processed16k/positive/train/speaker05_dary_005.wav,1
data/processed16k/positive/train/speaker05_dary_006.wav,1
data/processed16k/positive/train/speaker05_dary_007.wav,1
data/processed16k/positive/train/speaker05_dary_008.wav,1
data/processed16k/positive/train/speaker05_dary_009.wav,1
data/processed16k/positive/train/speaker05_dary_010.wav,1
data/processed16k/positive/train/speaker05_dary_011.wav,1
data/processed16k/positive/train/speaker05_dary_012.wav,1
data/processed16k/positive/train/speaker05_dary_013.wav,1
data/processed16k/positive/train/speaker05_dary_014.wav,1
data/processed16k/positive/train/speaker05_dary_015.wav,1
data/processed16k/positive/train/speaker05_dary_016.wav,1
data/processed16k/positive/train/speaker05_dary_017.wav,1
data/processed16k/positive/train/speaker05_dary_018.wav,1
data/processed16k/positive/train/speaker05_dary_019.wav,1
data/processed16k/positive/train/speaker05_dary_020.wav,1
data/processed16k/positive/train/speaker05_dary_021.wav,1
data/processed16k/positive/train/speaker05_dary_022.wav,1
data/processed16k/positive/train/speaker05_dary_023.wav,1
data/processed16k/positive/train/speaker05_dary_024.wav,1
data/processed16k/positive/train/speaker05_dary_025.wav,1
data/processed16k/positive/train/speaker05_dary_026.wav,1
data/processed16k/positive/train/speaker05_dary_027.wav,1
data/processed16k/positive/train/speaker06_dary_001.wav,1
data/processed16k/positive/train/speaker06_dary_002.wav,1
data/processed16k/positive/train/speaker06_dary_003.wav,1
data/processed16k/positive/train/speaker06_dary_005.wav,1
data/processed16k/positive/train/speaker06_dary_006.wav,1
data/processed16k/positive/train/speaker06_dary_007.wav,1
data/processed16k/positive/train/speaker06_dary_009.wav,1
data/processed16k/positive/train/speaker06_dary_011.wav,1
data/processed16k/positive/train/speaker06_dary_012.wav,1
data/processed16k/positive/train/speaker06_dary_013.wav,1
data/processed16k/positive/train/speaker06_dary_015.wav,1
data/processed16k/positive/train/speaker06_dary_018.wav,1
data/processed16k/positive/train/speaker06_dary_019.wav,1
data/processed16k/positive/train/speaker06_dary_022.wav,1
data/processed16k/positive/train/speaker06_dary_023.wav,1
data/processed16k/positive/train/speaker06_dary_024.wav,1
data/processed16k/positive/train/speaker06_dary_029.wav,1
data/processed16k/positive/train/speaker06_dary_032.wav,1
